country,year,Government expenditure (% of GDP),Government revenue (% of GDP),Gross public debt (% of GDP),Interest on public debt (% of GDP),Primary balance (% of GDP),Primary expenditure (% of GDP),Real GDP growth rate (%),Real long-term bond yield (%)
Colombia,2005,25.889331153268,25.868559962026,38.532495443299,3.3498396517293,3.3290684604868,22.539491501539,4.4470636923551,
Colombia,2006,28.441089121376,27.448440741205,35.969081886833,3.8943187701084,2.901670389938,24.546770351267,6.7170629286418,
Colombia,2007,28.162298960601,27.342520042034,32.663327450914,4.0814920626615,3.2617131440944,24.080806897939,6.7380004222512,
Colombia,2008,28.428792812302,28.470610484737,32.382419070311,3.4868579865666,3.528675659002,24.941934825735,3.2834461861654,
Colombia,2009,30.91421701983,28.240169675256,35.386764233322,3.3229691387662,0.64892179419172,27.591247881064,1.1396486454806,
Colombia,2010,30.350281511957,27.047502144095,36.497106858327,2.9881166902223,-0.31466267763951,27.362164821735,4.4948222051007,
Colombia,2011,30.233366332101,28.240387873111,35.783448826201,2.9686927096256,0.97571425063592,27.264673622475,6.9478919817356,
Colombia,2012,29.092597341547,29.247380991593,33.966577733391,2.7964892115202,2.9512728615656,26.296108130027,3.9126357671611,
Colombia,2013,29.998403880549,28.977659381688,37.592310994829,2.4931806660248,1.4724361671631,27.505223214525,5.1338529550263,
Colombia,2014,31.261244860082,29.517165544966,43.318893750054,2.6930379114677,0.94895859635141,28.568206948614,4.499169717276,
Colombia,2015,31.277350550365,27.757127825676,50.419035390797,2.8163985077191,-0.70382421697078,28.460952042646,2.9560293197576,
Colombia,2016,29.99362285003,27.719668486621,49.79625917077,3.2713407272101,0.9973863638011,26.72228212282,2.0873799076169,
Colombia,2017,29.320522563445,26.825001318077,49.436366495298,3.1454708489667,0.64994960359802,26.175051714479,1.35923748311,
Colombia,2018,34.657894335932,29.990242298186,53.584095411833,2.993509522506,-1.67414251524,31.664384813426,2.564324282777,
Colombia,2019,32.878861580952,29.397084153236,52.400954696491,3.1237682582009,-0.35800916951536,29.755093322751,3.1868553924553,
Colombia,2020,33.541808810909,26.588142185961,65.674122553459,2.9636535704291,-3.9900130545187,30.57815524048,-7.1859141376086,
Colombia,2021,34.301696711758,27.216510268149,64.039204789835,3.1735404584375,-3.9116459851715,31.128156253321,10.801320454823,
Colombia,2022,33.93366738634,27.763820191098,60.055426341204,4.2533579610455,-1.9164892341965,29.680309425294,7.2887654980336,
Colombia,2023,35.040037891047,32.316202393293,54.317081537768,4.2562941835889,1.5324586858347,30.783743707459,0.61040956579156,
Hungary,2005,49.318675673157,41.539836793735,60.518347316832,4.0565451614311,-3.7222937179901,45.262130511726,4.2942776100918,3.2069283568949
Hungary,2006,51.357640011619,42.097869134089,64.426934229239,3.8435092153724,-5.4162616621581,47.514130796247,3.9460700270117,3.4972240908319
Hungary,2007,49.861206815441,44.778201669512,65.550333545724,4.0301496027993,-1.0528555431305,45.831057212642,0.27736670940755,-0.93284413164703
Hungary,2008,48.745076320157,44.962496069717,71.756844711314,4.0565954924531,0.27401524201302,44.688480827704,1.0039430593169,3.1953175748552
Hungary,2009,50.559037186544,45.809266667009,78.032030435308,4.5019157810465,-0.24785473848887,46.057121405497,-6.5978644268234,5.114453417843
Hungary,2010,48.812972908624,44.386060472853,80.006642145981,4.0896459764571,-0.33726645931307,44.723326932166,1.0762540427767,2.2067109769132
