country,year,Government expenditure (% of GDP),Government revenue (% of GDP),Gross public debt (% of GDP),Interest on public debt (% of GDP),Primary balance (% of GDP),Primary expenditure (% of GDP),Real GDP growth rate (%),Real long-term bond yield (%)
France,2011,57.008710849549,51.709325405004,87.675866975149,2.7156241983453,-2.5837612462,54.293086651204,2.4847303361827,1.0340814820066
France,2012,57.889552537558,52.721005302432,90.624516649292,2.6289489902489,-2.5395982448773,55.260603547309,0.22209053486364,0.32006436432857
France,2013,58.589328564314,53.653638641131,93.272249135992,2.3298018442221,-2.6058880789604,56.259526720092,0.91560663216072,1.2144775477775
France,2014,58.391639075038,53.820283201307,94.714618757293,2.196186806814,-2.3751690669177,56.195452268224,1.0195273211242,1.0530045513288
France,2015,57.595114386196,53.707900692377,95.452806893062,2.0305241841336,-1.8566895096851,55.564590202062,0.98608941840603,0.7559657801892
France,2016,57.3792050341,53.61648950923,98.059027188137,1.8997956375495,-1.8629198873206,55.479409396551,0.72197074793528,0.16121733314133
France,2017,57.665093876504,54.300179649785,98.368839293078,1.7890797192105,-1.5758345075078,55.876014157293,2.2939577232251,-0.35576290207496
France,2018,56.369230560215,54.04755869902,98.11226549793,1.7704277429848,-0.55124411821016,54.59880281723,1.5852142607254,-1.3157782154048
France,2019,55.344795899362,52.953108020822,97.643827190696,1.5171406052199,-0.87454727332013,53.827655294142,2.0753037993028,-1.1671976590248
France,2020,61.69670910625,52.766478193278,114.62828412148,1.2811244217686,-7.6491064912029,60.415584684481,-7.5937862532038,-0.67251023096085
France,2021,59.463291365343,52.879619728384,112.58314055808,1.3875033790492,-5.1961682579097,58.075787986294,6.8302893246789,-2.0609894881854
France,2022,58.397211756266,53.662375467673,111.09290944798,1.9168234206448,-2.8180128679482,56.480388335621,2.6191470744361,-4.2023026402005
France,2023,56.989393985024,51.534851751401,109.87597676491,1.8707118448301,-3.5838303887928,55.118682140194,1.1195093338372,-2.6675285133871
Germany,2005,46.909301757812,43.577098846436,66.460091756926,2.8421099185944,-0.49009299278259,44.067191839218,0.72610325863783,1.4300955836067
Germany,2006,45.347301483154,43.694599151611,65.754024845642,2.8583800792694,1.2056777477264,42.488921403885,3.8135189609123,2.0085893060295
Germany,2007,43.51490020752,43.743000030518,63.08144063063,2.8210799694061,3.0491797924042,40.693820238113,2.9819796674863,2.0042325380856
Germany,2008,44.0452003479,43.988998413086,64.586203700843,2.7625501155853,2.7063481807709,41.282650232315,0.95938986795916,1.3373102866779
Germany,2009,48.098098754883,44.892799377441,71.715680576543,2.6881399154663,-0.5171594619751,45.409958839417,-5.6959902854702,3.0204959883297
Germany,2010,47.874298095703,43.59460067749,80.375526555201,2.498379945755,-1.7813174724579,45.375918149948,4.185273497011,1.656309686221
Germany,2011,45.274709677889,44.434986407357,77.849232661647,2.4739701798887,1.6342469093569,42.800739498,3.7635768245631,0.18420579240871
Germany,2012,45.083417250516,45.029103193138,79.157292938815,2.2920103700212,2.2376963126433,42.791406880495,0.46931926833688,-0.592364402317
Germany,2013,45.150804944058,45.273290365782,76.794662537318,1.8101475963282,1.9326330180519,43.34065734773,0.38595509112397,-0.0065292096219529
Germany,2014,44.497700298476,45.229048931887,73.823031854132,1.5927736108831,2.3241222442942,42.904926687592,2.1720609329545,0.43890744342034
Germany,2015,44.50579294476,45.420964788618,70.559882034579,1.3907280475751,2.305899891433,43.115064897185,1.6555889772948,-0.10464423561
Germany,2016,44.718611061572,45.852395568363,67.630651010134,1.1854410517786,2.3192255585697,43.533170009793,2.2893226587761,-0.21669722476835
Germany,2017,44.56628571257,45.904308173552,63.952376234949,1.0353605855105,2.373383046492,43.53092512706,2.7134054769674,-1.3355669960426
Germany,2018,44.688717711075,46.57346122123,60.728535497052,0.92642948532991,2.8111729954854,43.762288225745,1.1163097049672,-1.5016764641846
Germany,2019,45.563498619472,46.891690807043,58.556132032771,0.79357715113384,2.1217693387046,44.769921468338,0.99280106917038,-1.5286243492187
Germany,2020,51.129805601776,46.748685362446,67.858169885379,0.64905699758234,-3.7320632417484,50.480748604194,-4.0998053933834,-0.83809072230156
Germany,2021,50.709160442382,47.542092121225,67.878829091028,0.59116650255953,-2.5759018185973,50.117993939823,3.6703550918531,-3.5473067096585
Germany,2022,49.001985406629,46.85534352593,64.789357208796,0.70490787460324,-1.4417340060954,48.297077532026,1.3673961310239,-7.5065208464592
Germany,2023,48.380021741468,45.811135931956,62.660080515106,0.87364862443406,-1.6952371850772,47.506373117034,-0.2639970869287,-3.5949042321296
India,2005,26.876347487562,19.383784721362,82.377825890042,5.613070016767,-1.8794927494336,21.263277470795,9.2847162891977,3.1249803588094
India,2006,26.909660534524,20.529410313,77.941103663538,5.4233858173331,-0.95686440419028,21.48627471719,9.2641198451136,1.2394034482629
India,2007,26.944679565432,22.358216328547,75.455096650921,5.2807706597314,0.69430742284624,21.663908905701,9.8013942952196,1.4327930689938
India,2008,29.293117343562,20.122135052547,74.367659211302,5.1361553457922,-4.0348269452228,24.156961997769,3.890894976417,-2.0475437504009
